"CodiceAzienda","AZIENDA_COMUNE","SPECIE","FEMMINE_BOV_0_12MESI","FEMMINE_BOV_12_24MESI","FEMMINE_BOV_24_36MESI","FEMMINE_BOV_3_5ANNI","FEMMINE_BOV_5_8ANNI","FEMMINE_BOV_OLTRE_8ANNI","TOT_BOV_FEMMINE","TOT_CAPI","DATA_RIFERIMENTO","COMUNE","LATITUDINE","LONGITUDINE"
"071NA011","SANT'AGNELLO","BOVINI",0,0,0,2,3,3,8,9,"30/11/2020","Sant'Agnello",40.61342,14.41287
"071NA012","SANT'AGNELLO","BOVINI",2,0,1,0,2,0,5,6,"30/11/2020","Sant'Agnello",40.6267,14.3982
"071NA023","SANT'AGNELLO","BOVINI",3,6,5,5,6,1,26,34,"30/11/2020","Sant'Agnello",40.61423,14.40206
"074NA017","SANT'ANTONIO ABATE","BOVINI",7,16,4,9,11,5,52,54,"30/11/2020","Sant'Antonio Abate",40.714417,14.534095
"080NA002","SORRENTO","BOVINI",8,5,7,6,7,4,37,40,"30/11/2020","Sorrento",40.6139,14.3956
"080NA015","SORRENTO","BOVINI",3,1,1,1,2,0,8,10,"30/11/2020","Sorrento",40.61939,14.38043
"080NA027","SORRENTO","BOVINI",3,0,0,0,1,1,5,5,"30/11/2020","Sorrento",40.60948,14.38638
"080NA053","SORRENTO","BOVINI",4,5,1,5,10,4,29,33,"30/11/2020","Sorrento",40.60223,14.39876
"080NA071","SORRENTO","BOVINI",1,0,1,0,2,2,6,8,"30/11/2020","Sorrento",40.622,14.37667
"080NA087","SORRENTO","BOVINI",2,2,0,3,3,3,13,16,"30/11/2020","Sorrento",40.61427,14.38835
"080NA097","SORRENTO","BOVINI",0,1,0,0,0,0,1,1,"30/11/2020","Sorrento",40.61608,14.38675
"080NA105","SORRENTO","BOVINI",1,2,3,3,4,2,15,15,"30/11/2020","Sorrento",40.62632,14.37573
"080NA106","SORRENTO","BOVINI",3,4,6,9,8,2,32,33,"30/11/2020","Sorrento",40.61871,14.38316
"080NA110","SORRENTO","BOVINI",2,1,1,3,1,0,8,8,"30/11/2020","Sorrento",40.62578,14.39336
"086NA003","VICO EQUENSE","BOVINI",25,20,20,14,17,13,109,120,"30/11/2020","Vico Equense",40.6427,14.4566
"086NA008","VICO EQUENSE","BOVINI",7,1,2,9,14,6,39,44,"30/11/2020","Vico Equense",40.6327,14.4349
"086NA013","VICO EQUENSE","BOVINI",3,6,3,5,4,7,28,32,"30/11/2020","Vico Equense",40.660783,14.443133
"086NA016","VICO EQUENSE","BOVINI",5,6,4,7,8,0,30,36,"30/11/2020","Vico Equense",40.6517,14.4204
"086NA019","VICO EQUENSE","BOVINI",0,0,0,0,0,2,2,2,"30/11/2020","Vico Equense",40.64266,14.42657
"086NA028","VICO EQUENSE","BOVINI",0,0,0,2,0,1,3,4,"30/11/2020","Vico Equense",40.6618,14.4426
"086NA030","VICO EQUENSE","BOVINI",1,0,2,2,0,0,5,6,"30/11/2020","Vico Equense",40.6561,14.4508
"086NA037","VICO EQUENSE","BOVINI",6,5,6,8,6,2,33,38,"30/11/2020","Vico Equense",40.633333,14.432777
"086NA043","VICO EQUENSE","BOVINI",6,5,5,12,5,1,34,35,"30/11/2020","Vico Equense",40.652,14.4248
"086NA055","VICO EQUENSE","BOVINI",2,4,2,1,2,4,15,17,"30/11/2020","Vico Equense",40.6528,14.4292
"086NA058","VICO EQUENSE","BOVINI",5,10,4,6,8,4,37,40,"30/11/2020","Vico Equense",40.651666,14.453333
"086NA058","VICO EQUENSE","BOVINI",1,0,0,2,1,0,4,5,"30/11/2020","Vico Equense",40.651666,14.453333
"086NA068","VICO EQUENSE","BOVINI",2,2,0,1,2,12,19,21,"30/11/2020","Vico Equense",40.6621,14.455
"086NA070","VICO EQUENSE","BOVINI",2,1,1,4,4,0,12,17,"30/11/2020","Vico Equense",40.663483,14.440816
"086NA073","VICO EQUENSE","BOVINI",6,6,3,5,7,1,28,29,"30/11/2020","Vico Equense",40.6518,14.4193
"086NA077","VICO EQUENSE","BOVINI",0,0,0,0,0,0,0,0,"30/11/2020","Vico Equense",40.6567,14.4516
"086NA094","VICO EQUENSE","BOVINI",1,9,5,1,1,1,18,29,"30/11/2020","Vico Equense",40.6493,14.4523
"086NA098","VICO EQUENSE","BOVINI",5,8,3,14,9,5,44,46,"30/11/2020","Vico Equense",40.636266,14.439866
"086NA120","VICO EQUENSE","BOVINI",1,1,0,0,1,1,4,4,"30/11/2020","Vico Equense",40.6511,14.4508
"086NA121","VICO EQUENSE","BOVINI",0,1,0,0,0,1,2,4,"30/11/2020","Vico Equense",40.6509,14.4509
"086NA143","VICO EQUENSE","BOVINI",3,0,0,0,1,0,4,4,"30/11/2020","Vico Equense",40.6623,14.4415
"086NA144","VICO EQUENSE","BOVINI",3,2,1,3,1,1,11,12,"30/11/2020","Vico Equense",40.63856,14.47772
"086NA179","VICO EQUENSE","BOVINI",0,1,0,0,3,4,8,11,"30/11/2020","Vico Equense",40.6282,14.4455
"086NA187","VICO EQUENSE","BOVINI",3,1,1,0,1,3,9,10,"30/11/2020","Vico Equense",40.6393,14.4425
"086NA199","VICO EQUENSE","BOVINI",0,1,0,0,1,0,2,3,"30/11/2020","Vico Equense",40.6319,14.4427
"086NA202","VICO EQUENSE","BOVINI",1,0,2,1,2,0,6,7,"30/11/2020","Vico Equense",40.6472,14.4239
"086NA208","VICO EQUENSE","BOVINI",3,3,2,6,6,6,26,28,"30/11/2020","Vico Equense",40.6534,14.4235
"086NA230","VICO EQUENSE","BOVINI",0,0,1,1,0,1,3,4,"30/11/2020","Vico Equense",40.636944,14.436111
"086NA231","VICO EQUENSE","BOVINI",6,1,1,5,4,3,20,21,"30/11/2020","Vico Equense",40.664783,14.440866
"086NA244","VICO EQUENSE","BOVINI",6,4,5,7,3,4,29,30,"30/11/2020","Vico Equense",40.6651,14.4498
"086NA271","VICO EQUENSE","BOVINI",2,3,0,4,2,1,12,14,"30/11/2020","Vico Equense",40.65467,14.44894
"086NA285","VICO EQUENSE","BOVINI",1,0,0,1,3,0,5,5,"30/11/2020","Vico Equense",40.651111,14.457222
"086NA291","VICO EQUENSE","BOVINI",4,3,2,3,2,3,17,22,"30/11/2020","Vico Equense",40.6669,14.4463
"086NA296","VICO EQUENSE","BOVINI",1,2,4,8,9,4,28,30,"30/11/2020","Vico Equense",40.6586,14.456
"086NA341","VICO EQUENSE","BOVINI",1,1,0,0,2,0,4,5,"30/11/2020","Vico Equense",40.6496,14.4521
"086NA347","VICO EQUENSE","BOVINI",1,1,0,0,2,0,4,6,"30/11/2020","Vico Equense",40.65046,14.461
"086NA351","VICO EQUENSE","BOVINI",23,15,12,19,13,5,87,95,"30/11/2020","Vico Equense",40.654166,14.465
"086NA352","VICO EQUENSE","BOVINI",19,8,16,26,17,11,97,110,"30/11/2020","Vico Equense",40.657497,14.443338
"086NA375","VICO EQUENSE","BOVINI",1,1,0,0,1,1,4,4,"30/11/2020","Vico Equense",40.6589,14.4563
"086NA391","VICO EQUENSE","BOVINI",0,0,1,4,3,2,10,12,"30/11/2020","Vico Equense",40.648888,14.467222
"086NA391","VICO EQUENSE","BOVINI",2,2,4,5,4,6,23,24,"30/11/2020","Vico Equense",40.648888,14.467222
"086NA396","VICO EQUENSE","BOVINI",2,0,0,0,3,3,8,12,"30/11/2020","Vico Equense",40.65705,14.438642
"086NA402","VICO EQUENSE","BOVINI",0,0,1,1,0,0,2,7,"30/11/2020","Vico Equense",40.65805,14.437133
"086NA405","VICO EQUENSE","BOVINI",1,1,0,0,2,1,5,7,"30/11/2020","Vico Equense",40.6577,14.44
"086NA409","VICO EQUENSE","BOVINI",0,1,0,1,0,0,2,3,"30/11/2020","Vico Equense",40.65,14.464444
"086NA626","VICO EQUENSE","BOVINI",8,8,7,27,18,18,86,90,"30/11/2020","Vico Equense",40.655321,14.448131
"086NA729","VICO EQUENSE","BOVINI",1,0,2,1,1,0,5,5,"30/11/2020","Vico Equense",40.66347,14.458249
"090NA024","SANTA MARIA LA CARITA'","BOVINI",7,6,4,12,12,8,49,50,"30/11/2020","Santa Maria La Carita'",40.71947,14.50866
